Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity
177,1,177,Yoga Session,"First time trying, was okay.",2024-02-26
178,15,438,Wellness Package,Highly recommend the wellness package.,2024-02-17
179,1,166,Yoga Session,Liked the service.,2024-02-29
180,1,132,Nail Care,"First time trying, was okay.",2024-02-29
181,1,186,Massage,Liked the service.,2024-02-27
182,2,64,Nail Care,The pro was late.,2023-12-06
183,3,89,Nail Care,Very convenient.,2024-01-03
184,1,149,Yoga Session,Liked the service.,2024-02-29
185,3,125,Massage,Very convenient.,2024-01-29
186,1,129,Wellness Package,Easy to book.,2024-02-28
187,5,122,Nail Care,Great experience.,2024-02-13
188,5,133,Facial,Great experience.,2024-02-11
189,16,453,Massage,Highly recommend the wellness package.,2024-03-01
190,1,112,Massage,Liked the service.,2024-02-28
191,10,292,Massage,Highly recommend the wellness package.,2024-02-28
192,9,345,Wellness Package,Best home service ever.,2024-02-19
193,1,199,Massage,Easy to book.,2024-02-29
194,14,213,Wellness Package,Highly recommend the wellness package.,2024-02-25
195,3,120,Facial,Good value for money.,2024-01-29
196,1,95,Wellness Package,Liked the service.,2024-02-28
197,19,206,Wellness Package,Best home service ever.,2024-02-29
198,1,129,Massage,Easy to book.,2024-02-26
199,1,112,Facial,Easy to book.,2024-02-27
200,1,125,Massage,Liked the service.,2024-02-28
201,1,67,Nail Care,The pro was late.,2023-12-20
202,1,110,Facial,Liked the service.,2024-02-26
203,1,53,Facial,The pro was late.,2023-12-20
204,1,76,Nail Care,The pro was late.,2023-12-24
205,5,85,Massage,Great experience.,2024-01-18
206,2,115,Massage,Very convenient.,2024-02-08
207,1,167,Nail Care,Liked the service.,2024-02-26
208,2,85,Facial,Very convenient.,2024-01-18
209,2,146,Facial,Very convenient.,2024-01-06
210,3,129,Nail Care,Good value for money.,2024-02-14
211,1,50,Facial,The pro was late.,2023-12-23
212,8,203,Wellness Package,Absolutely incredible service!,2024-02-24
213,2,90,Facial,Good value for money.,2024-02-04
214,1,73,Facial,"First time trying, was okay.",2024-02-28
215,8,381,Massage,Best home service ever.,2024-02-20
216,18,437,Wellness Package,Highly recommend the wellness package.,2024-02-27
217,2,87,Nail Care,The pro was late.,2023-12-29
218,2,73,Nail Care,Too expensive for what it is.,2023-12-10
219,4,82,Massage,Good value for money.,2024-01-31
220,16,263,Massage,Highly recommend the wellness package.,2024-02-19
221,1,185,Facial,"First time trying, was okay.",2024-03-01
222,1,120,Massage,"First time trying, was okay.",2024-02-26
223,1,69,Nail Care,Too expensive for what it is.,2023-12-22
224,1,72,Facial,Easy to book.,2024-02-26
225,13,255,Wellness Package,Highly recommend the wellness package.,2024-02-16
226,1,184,Facial,"First time trying, was okay.",2024-02-29
227,13,302,Wellness Package,Best home service ever.,2024-03-01
228,17,471,Massage,Highly recommend the wellness package.,2024-02-25
229,1,82,Nail Care,Too expensive for what it is.,2024-01-01
230,16,295,Massage,Absolutely incredible service!,2024-02-25
231,1,131,Nail Care,"First time trying, was okay.",2024-02-28
232,2,109,Massage,Very convenient.,2024-01-28
233,1,186,Facial,Liked the service.,2024-03-01
234,13,216,Massage,Absolutely incredible service!,2024-02-29
235,3,90,Nail Care,Very convenient.,2024-02-14
236,2,51,Facial,Too expensive for what it is.,2023-12-31
237,2,59,Facial,The pro was late.,2023-12-07
238,1,75,Wellness Package,Easy to book.,2024-02-29
239,18,320,Wellness Package,Absolutely incredible service!,2024-03-01
240,1,96,Wellness Package,"First time trying, was okay.",2024-03-01
241,16,396,Wellness Package,Highly recommend the wellness package.,2024-02-23
242,1,166,Massage,Liked the service.,2024-02-28
243,2,55,Nail Care,Not worth the price.,2023-12-31
244,1,96,Yoga Session,"First time trying, was okay.",2024-02-29
245,15,209,Wellness Package,Highly recommend the wellness package.,2024-02-28
246,1,63,Facial,Too expensive for what it is.,2023-12-07
247,17,315,Massage,Highly recommend the wellness package.,2024-02-20
248,4,111,Facial,Great experience.,2024-02-01
249,1,89,Yoga Session,"First time trying, was okay.",2024-02-27
250,2,51,Nail Care,The pro was late.,2024-01-01
251,1,77,Nail Care,Too expensive for what it is.,2023-12-30
252,3,146,Facial,Great experience.,2024-01-30
253,10,482,Massage,Absolutely incredible service!,2024-02-26
254,12,475,Wellness Package,Absolutely incredible service!,2024-02-23
255,4,131,Massage,Great experience.,2024-01-29
256,15,268,Wellness Package,Highly recommend the wellness package.,2024-02-29
257,18,460,Wellness Package,Absolutely incredible service!,2024-02-17
258,11,318,Wellness Package,Best home service ever.,2024-02-18
259,4,142,Facial,Great experience.,2024-01-25
260,2,85,Nail Care,Not worth the price.,2023-12-29
261,1,98,Nail Care,The pro was late.,2023-12-25
262,1,197,Facial,Easy to book.,2024-02-26
263,2,76,Facial,Too expensive for what it is.,2023-12-12
264,1,58,Facial,The pro was late.,2023-12-05
265,1,160,Wellness Package,Liked the service.,2024-02-28
266,13,219,Massage,Best home service ever.,2024-02-26
267,2,128,Facial,Very convenient.,2024-01-24
268,3,115,Facial,Good value for money.,2024-01-07
269,1,77,Facial,"First time trying, was okay.",2024-02-26
270,4,92,Massage,Very convenient.,2024-02-11
271,11,333,Wellness Package,Highly recommend the wellness package.,2024-02-18
272,2,137,Facial,Very convenient.,2024-02-03
273,16,337,Wellness Package,Best home service ever.,2024-02-23
274,8,362,Massage,Highly recommend the wellness package.,2024-02-24
275,3,127,Facial,Good value for money.,2024-02-06
276,9,301,Wellness Package,Highly recommend the wellness package.,2024-02-23
277,1,109,Massage,Easy to book.,2024-02-28
278,4,119,Massage,Very convenient.,2024-01-02
279,4,124,Nail Care,Great experience.,2024-02-11
280,1,191,Nail Care,Easy to book.,2024-02-29
281,5,118,Massage,Good value for money.,2024-01-17
282,8,492,Wellness Package,Absolutely incredible service!,2024-03-01
283,1,188,Yoga Session,Easy to book.,2024-02-28
284,16,347,Wellness Package,Best home service ever.,2024-02-23
285,3,128,Massage,Good value for money.,2024-01-22
286,2,73,Facial,The pro was late.,2023-12-05
287,14,260,Wellness Package,Best home service ever.,2024-02-19
288,11,442,Massage,Absolutely incredible service!,2024-02-21
289,12,266,Wellness Package,Absolutely incredible service!,2024-02-18
290,1,90,Nail Care,Too expensive for what it is.,2023-12-15
291,17,447,Wellness Package,Absolutely incredible service!,2024-02-19
292,1,94,Nail Care,Liked the service.,2024-02-29
293,5,130,Massage,Good value for money.,2024-01-09
294,1,82,Nail Care,Not worth the price.,2023-12-12
295,1,84,Wellness Package,"First time trying, was okay.",2024-02-29
296,16,271,Massage,Absolutely incredible service!,2024-02-25
297,17,283,Wellness Package,Highly recommend the wellness package.,2024-02-19
298,2,137,Nail Care,Very convenient.,2024-01-18
299,1,77,Facial,Not worth the price.,2023-12-28
300,1,89,Facial,Not worth the price.,2023-12-03
301,5,82,Facial,Good value for money.,2024-01-24
302,5,144,Nail Care,Good value for money.,2024-02-11
303,2,67,Facial,The pro was late.,2024-01-01
304,1,71,Nail Care,The pro was late.,2023-12-25
305,1,144,Facial,Easy to book.,2024-02-29
306,2,88,Facial,The pro was late.,2023-12-30
307,2,75,Nail Care,The pro was late.,2023-12-16
308,1,77,Facial,Not worth the price.,2023-12-31
309,2,69,Facial,Not worth the price.,2023-12-22
310,2,66,Facial,The pro was late.,2023-12-29
311,4,85,Massage,Good value for money.,2024-02-12
312,13,497,Wellness Package,Absolutely incredible service!,2024-02-17
313,16,369,Wellness Package,Highly recommend the wellness package.,2024-02-26
314,3,134,Facial,Good value for money.,2024-01-10
315,1,175,Massage,Easy to book.,2024-02-27
316,1,150,Nail Care,Easy to book.,2024-02-28
317,10,416,Massage,Best home service ever.,2024-03-01
318,18,320,Massage,Best home service ever.,2024-02-25
319,1,170,Massage,Liked the service.,2024-02-26
320,8,361,Wellness Package,Absolutely incredible service!,2024-02-22
321,2,50,Nail Care,Too expensive for what it is.,2023-12-13
322,2,82,Nail Care,Too expensive for what it is.,2023-12-15
323,10,301,Massage,Highly recommend the wellness package.,2024-02-29
324,19,450,Wellness Package,Best home service ever.,2024-02-17
325,5,143,Massage,Good value for money.,2024-02-08
326,11,278,Massage,Best home service ever.,2024-02-25
327,14,290,Wellness Package,Highly recommend the wellness package.,2024-02-19
328,1,131,Facial,Liked the service.,2024-02-26
329,1,87,Yoga Session,Liked the service.,2024-02-29
330,4,115,Nail Care,Great experience.,2024-01-17
331,2,139,Nail Care,Great experience.,2024-02-11
332,5,113,Massage,Very convenient.,2024-02-10
333,9,267,Wellness Package,Highly recommend the wellness package.,2024-02-18
334,1,190,Nail Care,Liked the service.,2024-02-27
335,5,149,Massage,Great experience.,2024-02-03
336,5,91,Massage,Great experience.,2024-01-25
337,1,67,Nail Care,The pro was late.,2023-12-21
338,3,111,Nail Care,Very convenient.,2024-01-05
339,16,475,Massage,Absolutely incredible service!,2024-03-01
340,1,50,Facial,Too expensive for what it is.,2023-12-10
341,2,70,Nail Care,Too expensive for what it is.,2024-01-01
342,3,136,Massage,Great experience.,2024-01-26
343,1,195,Massage,Easy to book.,2024-02-26
344,2,51,Nail Care,The pro was late.,2023-12-08
345,3,83,Nail Care,Great experience.,2024-01-27
346,5,128,Facial,Great experience.,2024-01-13
347,4,118,Facial,Great experience.,2024-01-16
348,3,115,Nail Care,Very convenient.,2024-01-27
349,4,112,Facial,Very convenient.,2024-01-18
350,13,270,Wellness Package,Highly recommend the wellness package.,2024-02-23
351,1,183,Facial,Easy to book.,2024-02-26
352,13,221,Wellness Package,Highly recommend the wellness package.,2024-02-27
353,1,149,Massage,"First time trying, was okay.",2024-02-28
354,2,69,Nail Care,Too expensive for what it is.,2024-01-01
355,17,490,Wellness Package,Best home service ever.,2024-02-19
356,5,142,Nail Care,Very convenient.,2024-02-01
357,9,298,Wellness Package,Highly recommend the wellness package.,2024-02-25
358,2,92,Nail Care,Not worth the price.,2023-12-19
359,1,88,Yoga Session,Liked the service.,2024-02-27
360,1,70,Yoga Session,Easy to book.,2024-02-28
361,1,81,Facial,The pro was late.,2023-12-13
362,19,341,Wellness Package,Absolutely incredible service!,2024-03-01
363,2,74,Facial,Not worth the price.,2023-12-05
364,3,136,Facial,Very convenient.,2024-01-14
365,5,124,Nail Care,Very convenient.,2024-02-15
366,19,383,Massage,Best home service ever.,2024-02-27
367,5,121,Nail Care,Great experience.,2024-01-10
368,2,84,Nail Care,Very convenient.,2024-01-16
369,1,193,Facial,"First time trying, was okay.",2024-02-27
370,1,110,Massage,Easy to book.,2024-02-26
371,2,98,Facial,Very convenient.,2024-02-14
372,1,81,Wellness Package,"First time trying, was okay.",2024-02-29
373,15,239,Wellness Package,Highly recommend the wellness package.,2024-02-24
374,4,146,Massage,Good value for money.,2024-01-13
375,1,100,Wellness Package,Easy to book.,2024-02-26
376,2,88,Nail Care,Not worth the price.,2023-12-12
377,2,85,Nail Care,Very convenient.,2024-02-15
378,1,162,Facial,Easy to book.,2024-02-26
379,18,433,Wellness Package,Best home service ever.,2024-02-18
380,1,99,Nail Care,Liked the service.,2024-02-27
381,12,303,Wellness Package,Best home service ever.,2024-02-24
382,1,124,Facial,Liked the service.,2024-02-28
383,1,189,Facial,Liked the service.,2024-03-01
384,1,152,Massage,Liked the service.,2024-02-26
385,1,95,Facial,Too expensive for what it is.,2023-12-29
386,2,67,Facial,Not worth the price.,2023-12-25
387,5,81,Facial,Very convenient.,2024-01-22
388,2,68,Nail Care,Too expensive for what it is.,2023-12-24
389,2,106,Nail Care,Good value for money.,2024-01-21
390,17,245,Wellness Package,Highly recommend the wellness package.,2024-02-28
391,4,115,Nail Care,Great experience.,2024-01-07
392,1,153,Massage,"First time trying, was okay.",2024-02-27
393,5,132,Facial,Very convenient.,2024-02-09
394,4,93,Nail Care,Great experience.,2024-01-22
395,1,109,Wellness Package,Liked the service.,2024-02-26
396,4,117,Massage,Very convenient.,2024-02-05
397,13,358,Wellness Package,Absolutely incredible service!,2024-02-21
398,2,99,Facial,The pro was late.,2023-12-10
399,1,108,Yoga Session,"First time trying, was okay.",2024-02-29
400,1,165,Facial,"First time trying, was okay.",2024-02-28
401,1,172,Facial,Liked the service.,2024-02-27
402,1,81,Facial,Too expensive for what it is.,2023-12-08
403,3,145,Nail Care,Very convenient.,2024-02-06
404,1,89,Facial,Not worth the price.,2023-12-26
405,2,64,Facial,The pro was late.,2023-12-10
406,8,356,Wellness Package,Highly recommend the wellness package.,2024-02-17
407,1,76,Facial,Not worth the price.,2023-12-23
408,1,189,Wellness Package,Liked the service.,2024-02-26
409,4,100,Nail Care,Very convenient.,2024-01-30
410,2,50,Facial,The pro was late.,2023-12-29
411,1,111,Yoga Session,Liked the service.,2024-02-26
412,2,146,Nail Care,Very convenient.,2024-01-26
413,1,78,Massage,"First time trying, was okay.",2024-02-28
414,13,442,Wellness Package,Best home service ever.,2024-02-26
415,2,57,Nail Care,The pro was late.,2023-12-26
416,1,80,Facial,Not worth the price.,2023-12-28
417,10,411,Massage,Highly recommend the wellness package.,2024-02-25
418,5,94,Massage,Good value for money.,2024-02-08
419,2,85,Facial,Not worth the price.,2023-12-24
420,1,51,Nail Care,Too expensive for what it is.,2023-12-05
421,16,211,Wellness Package,Best home service ever.,2024-02-16
422,4,120,Facial,Very convenient.,2024-01-03
423,1,71,Facial,Too expensive for what it is.,2023-12-31
424,2,98,Nail Care,The pro was late.,2023-12-19
425,1,73,Facial,Liked the service.,2024-02-26
426,11,410,Wellness Package,Highly recommend the wellness package.,2024-02-22
427,16,238,Massage,Best home service ever.,2024-02-16
428,16,441,Wellness Package,Absolutely incredible service!,2024-02-22
429,1,89,Nail Care,Liked the service.,2024-02-26
430,1,84,Nail Care,Not worth the price.,2023-12-27
431,17,329,Massage,Absolutely incredible service!,2024-02-17
432,1,68,Nail Care,The pro was late.,2023-12-15
433,1,82,Wellness Package,"First time trying, was okay.",2024-03-01
434,11,257,Wellness Package,Highly recommend the wellness package.,2024-02-29
435,5,102,Facial,Very convenient.,2024-01-23
436,3,95,Facial,Good value for money.,2024-01-22
437,9,325,Wellness Package,Best home service ever.,2024-02-29
438,1,172,Wellness Package,Easy to book.,2024-03-01
439,5,146,Nail Care,Great experience.,2024-01-26
440,1,85,Facial,Too expensive for what it is.,2023-12-14
441,1,120,Nail Care,Liked the service.,2024-02-27
442,1,183,Yoga Session,"First time trying, was okay.",2024-02-29
443,2,89,Nail Care,Not worth the price.,2023-12-23
444,3,133,Facial,Great experience.,2024-01-17
445,1,51,Facial,The pro was late.,2023-12-18
446,3,93,Facial,Great experience.,2024-02-08
447,3,121,Nail Care,Very convenient.,2024-02-14
448,1,77,Nail Care,Not worth the price.,2023-12-22
449,2,85,Nail Care,The pro was late.,2023-12-27
450,1,143,Massage,Liked the service.,2024-02-28
451,17,385,Wellness Package,Best home service ever.,2024-02-26
452,18,479,Wellness Package,Highly recommend the wellness package.,2024-02-16
453,4,86,Facial,Very convenient.,2024-01-15
454,1,89,Nail Care,Not worth the price.,2023-12-29
455,1,165,Massage,"First time trying, was okay.",2024-03-01
456,2,142,Nail Care,Good value for money.,2024-01-17
457,2,140,Massage,Good value for money.,2024-01-26
458,2,91,Facial,Not worth the price.,2023-12-16
459,3,121,Massage,Great experience.,2024-01-23
460,9,475,Massage,Highly recommend the wellness package.,2024-02-25
461,5,107,Nail Care,Very convenient.,2024-01-04
462,1,138,Facial,"First time trying, was okay.",2024-02-26
463,18,421,Massage,Best home service ever.,2024-02-16
464,9,360,Wellness Package,Highly recommend the wellness package.,2024-02-19
465,1,86,Nail Care,Liked the service.,2024-02-27
466,1,126,Yoga Session,"First time trying, was okay.",2024-02-26
467,1,141,Massage,Liked the service.,2024-02-28
468,2,50,Nail Care,Too expensive for what it is.,2023-12-11
469,10,483,Wellness Package,Highly recommend the wellness package.,2024-02-29
470,4,141,Facial,Good value for money.,2024-01-15
471,12,288,Wellness Package,Best home service ever.,2024-03-01
472,17,338,Massage,Highly recommend the wellness package.,2024-02-24
473,10,387,Massage,Highly recommend the wellness package.,2024-02-21
474,1,150,Nail Care,Liked the service.,2024-02-29
475,5,95,Facial,Great experience.,2024-01-15
476,5,82,Nail Care,Very convenient.,2024-02-07
477,3,94,Nail Care,Great experience.,2024-01-18
478,18,317,Massage,Highly recommend the wellness package.,2024-02-21
479,1,110,Massage,Easy to book.,2024-02-26
480,15,460,Wellness Package,Best home service ever.,2024-02-27
481,3,133,Massage,Very convenient.,2024-01-26
482,8,258,Massage,Absolutely incredible service!,2024-02-16
483,1,80,Nail Care,Too expensive for what it is.,2023-12-26
484,1,89,Facial,Not worth the price.,2023-12-22
485,1,72,Yoga Session,Liked the service.,2024-02-28
486,4,122,Massage,Great experience.,2024-01-07
487,1,57,Nail Care,Not worth the price.,2023-12-19
488,1,169,Facial,"First time trying, was okay.",2024-02-29
489,4,87,Massage,Great experience.,2024-01-12
490,1,191,Wellness Package,"First time trying, was okay.",2024-02-29
491,4,85,Nail Care,Great experience.,2024-02-02
492,5,116,Facial,Great experience.,2024-01-10
493,4,90,Nail Care,Good value for money.,2024-01-21
494,12,377,Wellness Package,Absolutely incredible service!,2024-03-01
495,1,108,Facial,Easy to book.,2024-02-27
496,4,108,Nail Care,Great experience.,2024-01-31
497,1,104,Wellness Package,"First time trying, was okay.",2024-02-26
498,1,184,Nail Care,Easy to book.,2024-02-26
499,15,213,Wellness Package,Absolutely incredible service!,2024-02-25
500,19,375,Wellness Package,Absolutely incredible service!,2024-02-23
501,3,144,Facial,Great experience.,2024-01-22
502,17,348,Wellness Package,Absolutely incredible service!,2024-02-18
503,2,85,Facial,Great experience.,2024-02-15
504,3,125,Facial,Good value for money.,2024-01-28
505,2,70,Facial,Not worth the price.,2023-12-26
506,2,115,Facial,Very convenient.,2024-01-21
507,1,197,Yoga Session,Easy to book.,2024-02-26
508,17,316,Massage,Absolutely incredible service!,2024-02-23
509,9,408,Wellness Package,Best home service ever.,2024-02-25
510,17,243,Massage,Absolutely incredible service!,2024-02-16
511,18,333,Massage,Best home service ever.,2024-02-28
512,5,125,Facial,Great experience.,2024-01-14
513,1,83,Nail Care,The pro was late.,2023-12-09
514,1,63,Facial,Not worth the price.,2023-12-15
515,4,146,Massage,Great experience.,2024-01-06
516,5,82,Facial,Good value for money.,2024-02-14
517,12,467,Massage,Highly recommend the wellness package.,2024-03-01
518,1,142,Nail Care,Easy to book.,2024-02-27
